id,name,description
a1b2c3d4-0001-4000-8000-000000000001,Organic Bananas,Fresh organic bananas from Ecuador
a1b2c3d4-0001-4000-8000-000000000002,Whole Milk,Full-fat pasteurized cow's milk 1L
a1b2c3d4-0001-4000-8000-000000000003,Sourdough Bread,Artisan sourdough loaf 500g
a1b2c3d4-0001-4000-8000-000000000004,Free-Range Eggs,Pack of 12 free-range eggs
a1b2c3d4-0001-4000-8000-000000000005,Basmati Rice,Premium aged basmati rice 1kg
a1b2c3d4-0001-4000-8000-000000000006,Extra Virgin Olive Oil,Cold-pressed Italian olive oil 750ml
a1b2c3d4-0001-4000-8000-000000000007,Atlantic Salmon Fillet,Fresh skinless salmon fillet
a1b2c3d4-0001-4000-8000-000000000008,Cheddar Cheese,Mature cheddar cheese block 400g
a1b2c3d4-0001-4000-8000-000000000009,Cherry Tomatoes,Vine-ripened cherry tomatoes 250g punnet
a1b2c3d4-0001-4000-8000-000000000010,Greek Yogurt,Full-fat plain Greek yogurt 500g
a1b2c3d4-0001-4000-8000-000000000011,Chicken Breast,Boneless skinless chicken breast
a1b2c3d4-0001-4000-8000-000000000012,Avocado,Ripe Hass avocado
a1b2c3d4-0001-4000-8000-000000000013,Espresso Coffee Beans,Dark roast Arabica beans 250g
a1b2c3d4-0001-4000-8000-000000000014,Spaghetti,Durum wheat spaghetti 500g
a1b2c3d4-0001-4000-8000-000000000015,Orange Juice,Freshly squeezed orange juice 1L
a1b2c3d4-0001-4000-8000-000000000016,Baby Spinach,Washed and ready baby spinach leaves 200g
a1b2c3d4-0001-4000-8000-000000000017,Dark Chocolate,72% cocoa dark chocolate bar 100g
a1b2c3d4-0001-4000-8000-000000000018,Peanut Butter,Crunchy peanut butter 350g
a1b2c3d4-0001-4000-8000-000000000019,Red Bell Pepper,Fresh red bell pepper
a1b2c3d4-0001-4000-8000-000000000020,Almond Milk,Unsweetened almond milk 1L
a1b2c3d4-0001-4000-8000-000000000021,Ground Beef,Lean ground beef 500g
a1b2c3d4-0001-4000-8000-000000000022,Blueberries,Fresh blueberries 125g punnet
a1b2c3d4-0001-4000-8000-000000000023,Honey,Raw wildflower honey 340g
a1b2c3d4-0001-4000-8000-000000000024,Garlic,Fresh garlic bulb
a1b2c3d4-0001-4000-8000-000000000025,Butter,Unsalted butter 250g block
a1b2c3d4-0001-4000-8000-000000000026,Sweet Potato,Organic sweet potato
a1b2c3d4-0001-4000-8000-000000000027,Oat Milk,Barista oat milk 1L
a1b2c3d4-0001-4000-8000-000000000028,Walnuts,Raw walnut halves 200g
a1b2c3d4-0001-4000-8000-000000000029,Cucumber,English cucumber
a1b2c3d4-0001-4000-8000-000000000030,Sparkling Water,Natural mineral sparkling water 1.5L
